gene_id	sex	diff_exp	category	logFC	FPKM	chr	hypermethylated	weighted_meth	meth_level	logFPKM
Dcitr00g11380.1	male	no	unbiased	-0.1534259	3.75	DC3.0sc00	none	0.00509412038046279	Low	1.32175583998232
Dcitr00g11440.1	female	no	unbiased	0.1538061	12.6	DC3.0sc00	none	0.00595299305473855	Low	2.53369681395743
Dcitr00g11440.1	male	no	unbiased	0.1538061	15.45	DC3.0sc00	none	0.00667893290124463	Low	2.73760900334375
Dcitr00g11470.1	female	no	unbiased	-0.1978247	61.24	DC3.0sc00	none	0.178594058860671	Low	4.11480057078948
Dcitr00g11470.1	male	no	unbiased	-0.1978247	48.64	DC3.0sc00	none	0.166139061281365	Low	3.88444623765791
Dcitr00g11480.1	female	no	unbiased	-0.09120544	3.83	DC3.0sc00	none	0.00544294835107425	Low	1.34286480319255
Dcitr00g11480.1	male	no	unbiased	-0.09120544	2.73	DC3.0sc00	none	0.00504356698436041	Low	1.00430160919687
Dcitr00g11490.1	female	no	unbiased	0.1107874	3.66	DC3.0sc00	none	0.00421940928270042	Low	1.29746314741327
Dcitr00g11490.1	male	no	unbiased	0.1107874	6.2	DC3.0sc00	none	0.00728228228228228	Low	1.82454929205105
Dcitr00g11510.1	female	no	unbiased	-0.07246137	15.6	DC3.0sc00	none	0.0409340072754835	Low	2.74727091425549
Dcitr00g11510.1	male	no	unbiased	-0.07246137	14.92	DC3.0sc00	none	0.0326087157164038	Low	2.70270259477561
Dcitr00g11520.1	female	no	unbiased	-0.2077115	1428.9	DC3.0sc00	none	0	None	7.26466019647492
Dcitr00g11520.1	male	no	unbiased	-0.2077115	1302.92	DC3.0sc00	none	0	None	7.17236317846332
Dcitr00g11540.1	female	no	unbiased	-0.08184404	17.92	DC3.0sc00	none	0.00191570881226053	Low	2.88591740754678
Dcitr00g11540.1	male	no	unbiased	-0.08184404	19.98	DC3.0sc00	none	0.00606060606060606	Low	2.99473177322041
