gene_id	F1_FPKM	F2_FPKM	F3_FPKM	M1_FPKM	M2_FPKM	M3_FPKM	female_fpkm_mean	male_fpkm_mean	log2FoldChange	pvalue	padj	female_sq	male_sq	SPM	diff_exp	category
Dcitr06g11860.1	8.7	1.13	4.55	1.31	0.44	0.39	8.7	1.31	-2.788978	0.0001107198	0.0009424856	75.69	1.7161	0.9778299	yes	female_biased
Dcitr06g11870.1	54.81	63.54	55.39	54.46	57.38	55.56	54.81	54.46	-0.04753888	0.7272137	0.8874665	3004.136	2965.892	0.503203	no	unbiased
Dcitr06g11920.1	16.72	16.57	13.35	18.09	16.91	15.79	16.72	18.09	0.1270677	0.622364	0.8289561	279.5584	327.2481	0.4607044	no	unbiased
Dcitr06g11930.1	15.75	11.69	12.25	9.34	6.84	7.6	15.75	9.34	-0.7337953	0.00842435	0.04396026	248.0625	87.2356	0.7398267	no	unbiased
Dcitr06g11940.1	12.34	9.44	7.97	4.2	3.73	4.12	12.34	4.2	-1.284587	4.622916e-07	5.357144e-06	152.2756	17.64	0.8961838	no	unbiased
Dcitr06g11960.1	9.79	8	11.17	5.94	5.89	5.13	9.79	5.94	-0.7656948	0.01732969	0.07998468	95.8441	35.2836	0.7309218	no	unbiased
Dcitr06g11970.1	0.2	0.06	0.14	3.53	4.3	3.42	0.2	3.53	4.867782	1.051783e-12	2.318594e-11	0.04	12.4609	0.00319977	yes	male_biased
Dcitr06g11990.1	28.32	26.03	29.96	29.03	23.16	22.62	28.32	29.03	-0.1687497	0.2955575	0.5703099	802.0224	842.7409	0.4876218	no	unbiased
Dcitr06g12000.1	74.31	49.01	52.1	49.9	63.5	56.09	74.31	49.9	-0.0313743	0.8790396	0.9507369	5521.976	2490.01	0.6892144	no	unbiased
Dcitr06g12050.1	13.76	14.23	15.17	6.21	1.32	5.5	13.76	6.21	-1.722577	0.004129815	0.02408606	189.3376	38.5641	0.8307863	yes	female_biased
Dcitr06g12060.1	43.28	53.65	64.25	54.33	44.83	58.72	43.28	54.33	-0.02622174	0.8844352	0.9540104	1873.158	2951.749	0.3882268	no	unbiased
Dcitr06g12070.1	26.25	19.4	35.36	17.47	11.26	16.9	26.25	17.47	-0.8199608	0.02023738	0.09064099	689.0625	305.2009	0.6930382	no	unbiased
Dcitr06g12080.1	9.66	11.89	14.46	4.29	7.56	8.15	9.66	4.29	-0.8277962	0.01966126	0.08858943	93.3156	18.4041	0.8352654	no	unbiased
Dcitr06g12110.1	5.71	7.54	11.46	4.88	4.41	5.99	5.71	4.88	-0.6844461	0.1411518	0.3664927	32.6041	23.8144	0.5778973	no	unbiased
Dcitr06g12120.1	176.72	193.14	173.09	153.8	149.55	168.35	176.72	153.8	-0.1949484	0.1760204	0.4196291	31229.96	23654.44	0.5690134	no	unbiased
Dcitr06g12130.1	135.88	152.35	125.15	95.91	112.05	101.22	135.88	95.91	-0.41119	0.002552355	0.0158863	18463.37	9198.728	0.667461	no	unbiased
Dcitr06g12140.1	6.15	5.05	8.35	3.74	5.51	4.73	6.15	3.74	-0.4650232	0.311588	0.5889611	37.8225	13.9876	0.7300218	no	unbiased
Dcitr06g12150.1	26.75	22.86	19.83	23.04	22.56	18.48	26.75	23.04	-0.1098783	0.6297557	0.8333402	715.5625	530.8416	0.5741015	no	unbiased
Dcitr06g12160.1	5.63	3.6	6.35	12.32	9.41	9.51	5.63	12.32	1.04029	0.04991762	0.1790457	31.6969	151.7824	0.1727546	no	unbiased
Dcitr06g12170.1	10.03	9.81	12.47	10.99	10.1	11.85	10.03	10.99	0.03671529	0.8806578	0.9515455	100.6009	120.7801	0.4544243	no	unbiased
Dcitr06g12180.1	9.76	4.25	5.95	4.01	4.45	4.45	9.76	4.01	-0.6028868	0.176242	0.4199651	95.2576	16.0801	0.8555736	no	unbiased
Dcitr06g12190.1	26.23	18.49	19.66	22.35	23.31	26.76	26.23	22.35	0.1825142	0.4810009	0.7392538	688.0129	499.5225	0.579362	no	unbiased
Dcitr06g12230.1	4.14	5.59	4.65	7.25	6.49	7.52	4.14	7.25	0.5764546	0.09696414	0.2842953	17.1396	52.5625	0.2458979	no	unbiased
Dcitr06g12260.1	7.39	7.63	7.69	4	3.61	3.68	7.39	4	-0.9938417	0.01877906	0.08549776	54.6121	16	0.7734099	no	unbiased
Dcitr06g12270.1	13.53	14.48	14.86	12.01	12.64	13.16	13.53	12.01	-0.1738937	0.3306611	0.6096471	183.0609	144.2401	0.5593044	no	unbiased
Dcitr06g12280.1	12.54	10.67	9.05	29.26	25.72	23.75	12.54	29.26	1.297968	3.908557e-13	9.222262e-12	157.2516	856.1476	0.1551724	no	unbiased
Dcitr06g12290.1	7.28	8.64	9.03	10.91	11	11.6	7.28	10.91	0.4313563	0.01736194	0.07998482	52.9984	119.0281	0.3080828	no	unbiased
Dcitr06g12300.1	38.98	29.29	35.17	29.3	28.18	25.73	38.98	29.3	-0.307493	0.1584531	0.391173	1519.44	858.49	0.638976	no	unbiased
Dcitr06g12310.1	8.53	8.22	8.9	9.32	10.67	10.26	8.53	9.32	0.2504272	0.2069442	0.4634401	72.7609	86.8624	0.4558288	no	unbiased
Dcitr06g12360.1	12.03	13.33	11.25	9.94	11.03	6.13	12.03	9.94	-0.4373408	0.1459782	0.3741709	144.7209	98.8036	0.5942766	no	unbiased
Dcitr06g12420.1	0.68	0.22	0.96	2.45	4.32	4.15	0.68	2.45	2.596377	4.161939e-07	4.85925e-06	0.4624	6.0025	0.07152469	yes	male_biased
Dcitr06g12430.1	4.13	3.08	3.41	6.29	5.62	3.46	4.13	6.29	0.5424913	0.1979135	0.4508636	17.0569	39.5641	0.3012469	no	unbiased
Dcitr06g12440.1	1.69	1.68	2.77	19.14	16.73	15.97	1.69	19.14	3.087154	7.584204e-14	1.965085e-12	2.8561	366.3396	0.007736006	yes	male_biased
Dcitr06g12450.1	1.4	1.73	1.91	3.34	3.89	2.5	1.4	3.34	0.9356581	0.08399252	0.2589891	1.96	11.1556	0.1494404	no	unbiased
Dcitr06g12470.1	20.49	14.36	19.08	19.54	20.27	17.09	20.49	19.54	0.08461063	0.6653153	0.8541666	419.8401	381.8116	0.5237188	no	unbiased
Dcitr06g12480.1	4.27	7.5	4	15.83	15.5	3.88	4.27	15.83	1.1482	0.01667354	0.07767841	18.2329	250.5889	0.06782523	no	unbiased
